,words,tot_view
1265,群星,1524801
1266,经典,1524801
1267,傻,1513868
1268,回來,1513376
1269,雞,1512240
1270,夢,1512240
1271,結婚,1511136
1272,老人,1509812
1273,理化,1508894
1274,離席,1505627
1275,開轟,1505627
1276,節,1505627
1277,目憤,1505627
1278,張淑晶,1505627
1279,不想,1505627
1280,上節,1505627
1281,经理,1501569
1282,一手,1495355
1283,今晚,1492893
1284,搜,1490619
1285,心动,1490540
1286,大法,1490540
1287,初次,1490540
1288,盃,1489465
1289,小S,1486833
1290,麽,1486626
1291,工作,1483872
1292,EP1,1483100
1293,英國,1482870
1294,穿,1481931
1295,钱,1478124
1296,防疫,1477608
1297,謀財,1477272
1298,蔡天,1477272
1299,蔡,1477272
1300,害命,1477272
1301,啾,1474972
1302,懷胎,1469624
1303,嫁,1469439
1304,回憶,1469439
1305,一人,1462500
1306,落,1456396
1307,寧靜海,1451472
1308,PuPu,1444702
1309,清零,1443459
1310,走近,1440616
1311,愛情,1440616
1312,手機,1433608
1313,寶貝,1431776
1314,好心,1431776
1315,不安,1431776
1316,妻子,1430661
1317,賺,1429029
1318,大學,1429029
1319,亞洲,1429029
1320,朱茵,1428903
1321,娱乐,1427910
1322,舉動,1427256
1323,口岸,1425665
1324,白百何,1425454
1325,反擊,1422220
1326,顏志恒,1414705
1327,屋,1413294
1328,電視,1412484
1329,趙,1412484
1330,無法,1412484
1331,直擊,1411620
1332,郑恺,1410642
1333,崩溃,1410642
1334,Baby,1410642
1335,暖,1408239
1336,娛記,1406345
1337,驚爆,1401190
1338,衰,1401190
1339,聞台,1401190
1340,立新,1401190
1341,新聞線,1401190
1342,不平,1401190
1343,三立,1401190
1344,20230121,1401190
1345,温馨,1397871
1346,辣晚,1397634
1347,精華版,1397634
1348,盧秀芳,1397634
1349,万万,1391568
1350,頂,1387743
1351,氣看,1387743
1352,一口,1387743
1353,推介,1387545
1354,肥豪,1376709
1355,超車,1375770
1356,翻車,1375770
1357,翻,1375770
1358,寶慧,1375770
1359,iNEWS,1375770
1360,嚴重,1374648
1361,組織,1374016
1362,爆發,1367996
1363,20221222,1367996
1364,頻繁,1367156
1365,劉鑾雄,1357048
1366,電話,1349598
1367,泡,1345638
1368,布,1345638
1369,驚喜,1336569
1370,表演,1336569
1371,遭遇,1335792
1372,詭異,1335792
1373,異,1335792
1374,模特,1335792
1375,恐,1335792
1376,塑料,1335792
1377,化,1335792
1378,蔡正元,1326273
1379,初恋,1323918
1380,鄧紫棋,1322562
1381,身後時,1321185
1382,當異,1321185
1383,回去,1321185
1384,花,1319790
1385,带,1319790
1386,直言,1319146
1387,內閣,1319146
1388,排隊,1314306
1389,酥脆,1313980
1390,欠學,1313980
1391,口,1313980
1392,龔俊,1313526
1393,離場,1313526
1394,關曉彤,1313526
1395,辦,1313526
1396,繞,1313526
1397,直,1313526
1398,王鹤,1313526
1399,水,1313526
1400,方水太深,1313526
1401,关晓彤,1313526
1402,关,1313526
1403,主辦,1313526
1404,一博,1313526
1405,反應,1313022
1406,矽谷,1311944
1407,瑞德,1311944
1408,狠,1311944
1409,林廷輝,1311944
1410,林,1311944
1411,教訓,1311944
1412,調查,1306566
1413,60,1304010
1414,流行榜,1299864
1415,平台,1299864
1416,規矩,1298669
1417,急眼,1298669
1418,很守,1298669
1419,鐵板,1298058
1420,透,1298058
1421,走向,1298058
1422,習近平,1298058
1423,民主,1298058
1424,板,1298058
1425,手術,1297384
1426,進出,1293946
1427,決勝,1293946
1428,歓,1293946
1429,杯,1293946
1430,対,1293946
1431,喜,1293946
1432,ワ,1293946
1433,プ,1293946
1434,ナ,1293946
1435,ッ,1293946
1436,狂熱,1287475
